topic,verse_ref,verse_content
addiction,Romans 13:14,"Rather, clothe yourselves with the Lord Jesus Christ, and do not think about how to gratify the desires of the flesh."
almighty,1 Chronicles 29:11,"Yours, Lord, is the greatness and the power and the glory and the majesty and the splendor, for everything in heaven and earth is yours. Yours, Lord, is the kingdom; you are exalted as head over all."
almighty,Jeremiah 32:27,"I am the Lord, the God of all mankind. Is anything too hard for me?"
almighty,Luke 1:37,For no word from God will ever fail.
almighty,Revelation 1:8,"“I am the Alpha and the Omega,” says the Lord God, “who is, and who was, and who is to come, the Almighty.”"
almighty,Psalm 91:1-2,"Whoever dwells in the shelter of the Most High will rest in the shadow of the Almighty. I will say of the Lord, “He is my refuge and my fortress, my God, in whom I trust.”"
almighty,Jeremiah 32:17,"Ah, Sovereign Lord, you have made the heavens and the earth by your great power and outstretched arm. Nothing is too hard for you."
almighty,Psalm 145:3,Great is the Lord and most worthy of praise; his greatness no one can fathom.
almighty,Psalm 80:19,"Restore us, Lord God Almighty; make your face shine on us, that we may be saved."
almighty,1 Chronicles 29:12,Wealth and honor come from you; you are the ruler of all things. In your hands are strength and power to exalt and give strength to all.
almighty,Romans 8:38-39,"For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord."
almighty,Romans 1:20,"For since the creation of the world God’s invisible qualities—his eternal power and divine nature—have been clearly seen, being understood from what has been made, so that people are without excuse."
almighty,Psalm 24:1,"The earth is the Lord’s, and everything in it, the world, and all who live in it."
almighty,1 Timothy 1:17,"Now to the King eternal, immortal, invisible, the only God, be honor and glory for ever and ever. Amen."
almighty,Ephesians 6:10,"Finally, be strong in the Lord and in his mighty power."
almighty,1 John 4:4,"You, dear children, are from God and have overcome them, because the one who is in you is greater than the one who is in the world."
almighty,Daniel 2:22,"He reveals deep and hidden things; he knows what lies in darkness, and light dwells with him."
almighty,1 Samuel 2:7,The Lord sends poverty and wealth; he humbles and he exalts.
almighty,Psalm 139:4,"Before a word is on my tongue you, Lord, know it completely."
almighty,Ezekiel 34:26,I will make them and the places surrounding my hill a blessing. I will send down showers in season; there will be showers of blessing.
almighty,Mark 14:36,"“Abba, Father,” he said, “everything is possible for you. Take this cup from me. Yet not what I will, but what you will.”"
almighty,Job 1:12,"The Lord said to Satan, “Very well, then, everything he has is in your power, but on the man himself do not lay a finger.” Then Satan went out from the presence of the Lord."
angels,Matthew 26:53,"Do you think I cannot call on my Father, and he will at once put at my disposal more than twelve legions of angels?"
angels,Hebrews 13:1-2,"Keep on loving one another as brothers and sisters. Do not forget to show hospitality to strangers, for by so doing some people have shown hospitality to angels without knowing it."
angels,1 Thessalonians 4:16-17,"For the Lord himself will come down from heaven, with a loud command, with the voice of the archangel and with the trumpet call of God, and the dead in Christ will rise first. After that, we who are still alive and are left will be caught up together with them in the clouds to meet the Lord in the air. And so we will be with the Lord forever."
angels,Luke 2:10,"But the angel said to them, “Do not be afraid. I bring you good news that will cause great joy for all the people.”"
angels,Romans 8:38-39,"For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord."
angels,1 Corinthians 13:1,"If I speak in the tongues of men or of angels, but do not have love, I am only a resounding gong or a clanging cymbal."
angels,Matthew 28:5-6,"The angel said to the women, “Do not be afraid, for I know that you are looking for Jesus, who was crucified. He is not here; he has risen, just as he said. Come and see the place where he lay.”"
angels,Luke 15:10,"In the same way, I tell you, there is rejoicing in the presence of the angels of God over one sinner who repents."
angels,Luke 2:14,"Glory to God in the highest heaven, and on earth peace to those on whom his favor rests."
angels,Revelation 3:5,"The one who is victorious will, like them, be dressed in white. I will never blot out the name of that person from the book of life, but will acknowledge that name before my Father and his angels."
angels,Luke 1:30-31,"But the angel said to her, “Do not be afraid, Mary; you have found favor with God. You will conceive and give birth to a son, and you are to call him Jesus.”"
angels,Acts 1:10-11,"They were looking intently up into the sky as he was going, when suddenly two men dressed in white stood beside them. “Men of Galilee,” they said, “why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven.”"
angels,1 Timothy 3:16,"Beyond all question, the mystery from which true godliness springs is great: He appeared in the flesh, was vindicated by the Spirit, was seen by angels, was preached among the nations, was believed on in the world, was taken up in glory."
angels,Matthew 1:20,"But after he had considered this, an angel of the Lord appeared to him in a dream and said, “Joseph son of David, do not be afraid to take Mary home as your wife, because what is conceived in her is from the Holy Spirit.”"
anger,Ephesians 4:26-27,"“In your anger do not sin”: Do not let the sun go down while you are still angry, and do not give the devil a foothold."
anger,1 Corinthians 13:4-5,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It does not dishonor others, it is not self-seeking, it is not easily angered, it keeps no record of wrongs."
anger,Leviticus 19:17-18,"Do not hate a fellow Israelite in your heart. Rebuke your neighbor frankly so you will not share in their guilt. Do not seek revenge or bear a grudge against anyone among your people, but love your neighbor as yourself. I am the Lord."
anger,Proverbs 10:12,"Hatred stirs up conflict, but love covers over all wrongs."
anger,James 1:19,"My dear brothers and sisters, take note of this: Everyone should be quick to listen, slow to speak and slow to become angry."
anger,Proverbs 15:1,"A gentle answer turns away wrath, but a harsh word stirs up anger."
anger,Proverbs 14:29,"Whoever is patient has great understanding, but one who is quick-tempered displays folly."
anger,Mark 7:20-23,"He went on: “What comes out of a person is what defiles them. For it is from within, out of a person’s heart, that evil thoughts come—sexual immorality, theft, murder, adultery, greed, malice, deceit, lewdness, envy, slander, arrogance and folly. All these evils come from inside and defile a person.”"
anger,Proverbs 29:11,"Fools give full vent to their rage, but the wise bring calm in the end."
anger,Proverbs 12:16,"Fools show their annoyance at once, but the prudent overlook an insult."
anger,Proverbs 13:10,"Where there is strife, there is pride, but wisdom is found in those who take advice."
anger,Proverbs 20:3,"It is to one’s honor to avoid strife, but every fool is quick to quarrel."
anger,Hebrews 3:12,"See to it, brothers and sisters, that none of you has a sinful, unbelieving heart that turns away from the living God."
anger,Jeremiah 3:12b,"‘Return, faithless Israel,’ declares the Lord, ‘I will frown on you no longer, for I am faithful,’ declares the Lord, ‘I will not be angry forever.’"
ascension,Acts 1:9,"After he said this, he was taken up before their very eyes, and a cloud hid him from their sight."
ascension,Luke 24:50-51,"When he had led them out to the vicinity of Bethany, he lifted up his hands and blessed them. While he was blessing them, he left them and was taken up into heaven."
ascension,Acts 1:10-11,"They were looking intently up into the sky as he was going, when suddenly two men dressed in white stood beside them. “Men of Galilee,” they said, “why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven.”"
ascension,Mark 16:19,"After the Lord Jesus had spoken to them, he was taken up into heaven and he sat at the right hand of God."
ascension,John 16:28,I came from the Father and entered the world; now I am leaving the world and going back to the Father.
ascension,John 14:2,"My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?"
ascension,1 Timothy 3:16,"Beyond all question, the mystery from which true godliness springs is great: He appeared in the flesh, was vindicated by the Spirit, was seen by angels, was preached among the nations, was believed on in the world, was taken up in glory."
ascension,John 20:17,"Jesus said, “Do not hold on to me, for I have not yet ascended to the Father. Go instead to my brothers and tell them, ‘I am ascending to my Father and your Father, to my God and your God.’”"
ascension,John 7:33,"Jesus said, “I am with you for only a short time, and then I am going to the one who sent me.”"
ascension,John 14:12,"Very truly I tell you, whoever believes in me will do the works I have been doing, and they will do even greater things than these, because I am going to the Father."
ascension,John 6:62,Then what if you see the Son of Man ascend to where he was before!
ascension,Acts 2:33,"Exalted to the right hand of God, he has received from the Father the promised Holy Spirit and has poured out what you now see and hear."
awe,Proverbs 8:13,"To fear the Lord is to hate evil; I hate pride and arrogance, evil behavior and perverse speech."
awe,2 Corinthians 7:1,"Therefore, since we have these promises, dear friends, let us purify ourselves from everything that contaminates body and spirit, perfecting holiness out of reverence for God."
awe,Proverbs 3:7-8,Do not be wise in your own eyes; fear the Lord and shun evil. This will bring health to your body and nourishment to your bones.
awe,Psalm 33:18,"But the eyes of the Lord are on those who fear him, on those whose hope is in his unfailing love."
awe,Proverbs 22:4,Humility is the fear of the Lord; its wages are riches and honor and life.
awe,Deuteronomy 10:12-13,"And now, Israel, what does the Lord your God ask of you but to fear the Lord your God, to walk in obedience to him, to love him, to serve the Lord your God with all your heart and with all your soul, and to observe the Lord’s commands and decrees that I am giving you today for your own good?"
awe,Proverbs 31:30,"Charm is deceptive, and beauty is fleeting; but a woman who fears the Lord is to be praised."
awe,Proverbs 15:16,Better a little with the fear of the Lord than great wealth with turmoil.
awe,Psalm 128:1,"Blessed are all who fear the Lord, who walk in obedience to him."
awe,Proverbs 1:7,"The fear of the Lord is the beginning of knowledge, but fools despise wisdom and instruction."
awe,Deuteronomy 13:4,"It is the Lord your God you must follow, and him you must revere. Keep his commands and obey him; serve him and hold fast to him."
awe,Ecclesiastes 12:13,"Now all has been heard; here is the conclusion of the matter: Fear God and keep his commandments, for this is the duty of all mankind."
awe,Malachi 4:2,"But for you who revere my name, the sun of righteousness will rise with healing in its rays. And you will go out and frolic like well-fed calves."
awe,Proverbs 15:33,"Wisdom’s instruction is to fear the Lord, and humility comes before honor."
awe,Proverbs 9:10,"The fear of the Lord is the beginning of wisdom, and knowledge of the Holy One is understanding."
awe,Exodus 1:21,"And because the midwives feared God, he gave them families of their own."
awe,Psalm 112:1,"Praise the Lord. Blessed are those who fear the Lord, who find great delight in his commands."
awe,Romans 13:7,"Give to everyone what you owe them: If you owe taxes, pay taxes; if revenue, then revenue; if respect, then respect; if honor, then honor."
awe,Psalm 111:10,The fear of the Lord is the beginning of wisdom; all who follow his precepts have good understanding. To him belongs eternal praise.
awe,Job 6:14,Anyone who withholds kindness from a friend forsakes the fear of the Almighty.
awe,Psalm 67:7,"May God bless us still, so that all the ends of the earth will fear him."
awe,Deuteronomy 5:29,"Oh, that their hearts would be inclined to fear me and keep all my commands always, so that it might go well with them and their children forever!"
awe,Psalm 86:11,"Teach me your way, Lord, that I may rely on your faithfulness; give me an undivided heart, that I may fear your name."
awe,Acts 9:31,"Then the church throughout Judea, Galilee and Samaria enjoyed a time of peace and was strengthened. Living in the fear of the Lord and encouraged by the Holy Spirit, it increased in numbers."
awe,Deuteronomy 8:6,"Observe the commands of the Lord your God, walking in obedience to him and revering him."
baptism,Galatians 3:26-27,"So in Christ Jesus you are all children of God through faith, for all of you who were baptized into Christ have clothed yourselves with Christ."
baptism,Matthew 28:19-20,"Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, and teaching them to obey everything I have commanded you. And surely I am with you always, to the very end of the age."
baptism,1 Peter 3:21,And this water symbolizes baptism that now saves you also—not the removal of dirt from the body but the pledge of a clear conscience toward God. It saves you by the resurrection of Jesus Christ.
baptism,Acts 2:38,"Peter replied, “Repent and be baptized, every one of you, in the name of Jesus Christ for the forgiveness of your sins. And you will receive the gift of the Holy Spirit.”"
baptism,Mark 16:16,"Whoever believes and is baptized will be saved, but whoever does not believe will be condemned."
baptism,John 3:5,"Jesus answered, “Very truly I tell you, no one can enter the kingdom of God unless they are born of water and the Spirit.”"
baptism,Acts 22:16,"And now what are you waiting for? Get up, be baptized and wash your sins away, calling on his name."
baptism,Romans 6:3,Or don’t you know that all of us who were baptized into Christ Jesus were baptized into his death?
baptism,Luke 3:21-22,"When all the people were being baptized, Jesus was baptized too. And as he was praying, heaven was opened and the Holy Spirit descended on him in bodily form like a dove. And a voice came from heaven: “You are my Son, whom I love; with you I am well pleased.”"
baptism,1 Corinthians 12:13,"For we were all baptized by one Spirit so as to form one body—whether Jews or Gentiles, slave or free—and we were all given the one Spirit to drink."
baptism,Acts 10:47,Surely no one can stand in the way of their being baptized with water. They have received the Holy Spirit just as we have.
baptism,Acts 19:5-6,"On hearing this, they were baptized in the name of the Lord Jesus. When Paul placed his hands on them, the Holy Spirit came on them, and they spoke in tongues and prophesied."
baptism,John 1:33,"And I myself did not know him, but the one who sent me to baptize with water told me, ‘The man on whom you see the Spirit come down and remain is the one who will baptize with the Holy Spirit.’"
baptism,Titus 3:5,"He saved us, not because of righteous things we had done, but because of his mercy. He saved us through the washing of rebirth and renewal by the Holy Spirit."
baptism,Acts 19:4,"Paul said, “John’s baptism was a baptism of repentance. He told the people to believe in the one coming after him, that is, in Jesus.”"
baptism,Acts 2:41,"Those who accepted his message were baptized, and about three thousand were added to their number that day."
beauty,Song of songs 4:7,"You are altogether beautiful, my darling; there is no flaw in you."
beauty,1 Peter 3:3-4,"Your beauty should not come from outward adornment, such as elaborate hairstyles and the wearing of gold jewelry or fine clothes. Rather, it should be that of your inner self, the unfading beauty of a gentle and quiet spirit, which is of great worth in God’s sight."
beauty,Proverbs 31:30,"Charm is deceptive, and beauty is fleeting; but a woman who fears the Lord is to be praised."
beauty,Isaiah 60:1,"Arise, shine, for your light has come, and the glory of the Lord rises upon you."
beauty,Psalm 139:13-14,"For you created my inmost being; you knit me together in my mother’s womb. I praise you because I am fearfully and wonderfully made; your works are wonderful, I know that full well."
beauty,1 Samuel 16:7,"But the Lord said to Samuel, “Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.”"
beauty,1 Timothy 2:9-10,"I also want the women to dress modestly, with decency and propriety, adorning themselves, not with elaborate hairstyles or gold or pearls or expensive clothes, but with good deeds, appropriate for women who profess to worship God."
beauty,2 Corinthians 4:16,"Therefore we do not lose heart. Though outwardly we are wasting away, yet inwardly we are being renewed day by day."
beauty,Isaiah 40:8,"The grass withers and the flowers fall, but the word of our God endures forever."
beauty,Ephesians 2:10,"For we are God’s handiwork, created in Christ Jesus to do good works, which God prepared in advance for us to do."
beauty,Matthew 6:25,"Therefore I tell you, do not worry about your life, what you will eat or drink; or about your body, what you will wear. Is not life more than food, and the body more than clothes?"
beauty,Genesis 1:27,"So God created mankind in his own image, in the image of God he created them; male and female he created them."
blameless,Psalm 15:2-3,"The one whose walk is blameless, who does what is righteous, who speaks the truth from their heart; whose tongue utters no slander, who does no wrong to a neighbor, and casts no slur on others."
blameless,James 3:2,"We all stumble in many ways. Anyone who is never at fault in what they say is perfect, able to keep their whole body in check."
blameless,Philippians 2:14-16a,"Do everything without grumbling or arguing, so that you may become blameless and pure, “children of God without fault in a warped and crooked generation.” Then you will shine among them like stars in the sky as you hold firmly to the word of life."
blameless,1 Thessalonians 5:15,"Make sure that nobody pays back wrong for wrong, but always strive to do what is good for each other and for everyone else."
blameless,Romans 12:2,"Do not conform to the pattern of this world, but be transformed by the renewing of your mind. Then you will be able to test and approve what God’s will is—his good, pleasing and perfect will."
blameless,Colossians 3:14,"And over all these virtues put on love, which binds them all together in perfect unity."
blameless,Psalm 18:30,"As for God, his way is perfect: The Lord’s word is flawless; he shields all who take refuge in him."
blameless,Psalm 119:1,"Blessed are those whose ways are blameless, who walk according to the law of the Lord."
blameless,1 Corinthians 1:10,"I appeal to you, brothers and sisters, in the name of our Lord Jesus Christ, that all of you agree with one another in what you say and that there be no divisions among you, but that you be perfectly united in mind and thought."
blameless,Job 23:10-11,"But he knows the way that I take; when he has tested me, I will come forth as gold. My feet have closely followed his steps; I have kept to his way without turning aside."
blameless,James 1:27,Religion that God our Father accepts as pure and faultless is this: to look after orphans and widows in their distress and to keep oneself from being polluted by the world.
blameless,John 16:24,"Until now you have not asked for anything in my name. Ask and you will receive, and your joy will be complete."
blameless,Proverbs 2:7,"He holds success in store for the upright, he is a shield to those whose walk is blameless."
blameless,2 Samuel 22:31,"As for God, his way is perfect: The Lord’s word is flawless; he shields all who take refuge in him."
blameless,James 1:17,"Every good and perfect gift is from above, coming down from the Father of the heavenly lights, who does not change like shifting shadows."
blameless,John 15:11,I have told you this so that my joy may be in you and that your joy may be complete.
blameless,Matthew 19:21,"Jesus answered, “If you want to be perfect, go, sell your possessions and give to the poor, and you will have treasure in heaven. Then come, follow me.”"
blameless,Hebrews 5:9,"And, once made perfect, he became the source of eternal salvation for all who obey him."
blessing,Numbers 6:24-26,The Lord bless you and keep you; the Lord make his face shine on you and be gracious to you; the Lord turn his face toward you and give you peace.
blessing,Jeremiah 17:7-8,"But blessed is the one who trusts in the Lord, whose confidence is in him. They will be like a tree planted by the water that sends out its roots by the stream. It does not fear when heat comes; its leaves are always green. It has no worries in a year of drought and never fails to bear fruit."
blessing,Psalm 20:4,May he give you the desire of your heart and make all your plans succeed.
blessing,Proverbs 16:3,"Commit to the Lord whatever you do, and he will establish your plans."
blessing,Jeremiah 29:11,"For I know the plans I have for you, declares the Lord, plans to prosper you and not to harm you, plans to give you hope and a future."
blessing,Philippians 4:19,And my God will meet all your needs according to the riches of his glory in Christ Jesus.
blessing,Exodus 23:25,"Worship the Lord your God, and his blessing will be on your food and water. I will take away sickness from among you."
blessing,Psalm 34:8,Taste and see that the Lord is good; blessed is the one who takes refuge in him.
blessing,Deuteronomy 30:16,"For I command you today to love the Lord your God, to walk in obedience to him, and to keep his commands, decrees and laws; then you will live and increase, and the Lord your God will bless you in the land you are entering to possess."
blessing,Psalm 23:1-2,"The Lord is my shepherd, I lack nothing. He makes me lie down in green pastures, he leads me beside quiet waters."
blessing,Romans 12:14,Bless those who persecute you; bless and do not curse.
blessing,Proverbs 16:20,"Whoever gives heed to instruction prospers, and blessed is the one who trusts in the Lord."
blessing,Psalm 31:19,"How abundant are the good things that you have stored up for those who fear you, that you bestow in the sight of all, on those who take refuge in you."
blessing,Philemon 1:25,The grace of the Lord Jesus Christ be with your spirit.
blessing,Luke 6:27-28,"But to you who are listening I say: Love your enemies, do good to those who hate you, bless those who curse you, pray for those who mistreat you."
blessing,1 Peter 3:9,"Do not repay evil with evil or insult with insult. On the contrary, repay evil with blessing, because to this you were called so that you may inherit a blessing."
blessing,2 Corinthians 9:8,"And God is able to bless you abundantly, so that in all things at all times, having all that you need, you will abound in every good work."
blessing,Galatians 5:22-23,"But the fruit of the Spirit is love, joy, peace, forbearance, kindness, goodness, faithfulness, gentleness and self-control. Against such things there is no law."
blessing,Proverbs 10:22,"The blessing of the Lord brings wealth, without painful toil for it."
blessing,3 John 1:2,"Dear friend, I pray that you may enjoy good health and that all may go well with you, even as your soul is getting along well."
blessing,Deuteronomy 28:1,"If you fully obey the Lord your God and carefully follow all his commands I give you today, the Lord your God will set you high above all the nations on earth."
blessing,Matthew 5:6,"Blessed are those who hunger and thirst for righteousness, for they will be filled."
blessing,Philippians 4:23,The grace of the Lord Jesus Christ be with your spirit. Amen.
blessing,Psalm 119:2,Blessed are those who keep his statutes and seek him with all their heart.
blessing,Matthew 25:21,"His master replied, ‘Well done, good and faithful servant! You have been faithful with a few things; I will put you in charge of many things. Come and share your master’s happiness!’"
blood,Colossians 1:13-14,"For he has rescued us from the dominion of darkness and brought us into the kingdom of the Son he loves, in whom we have redemption, the forgiveness of sins."
blood,Ephesians 1:7,"In him we have redemption through his blood, the forgiveness of sins, in accordance with the riches of God’s grace."
blood,1 Peter 1:18-19,"For you know that it was not with perishable things such as silver or gold that you were redeemed from the empty way of life handed down to you from your ancestors, but with the precious blood of Christ, a lamb without blemish or defect."
blood,1 John 1:7,"But if we walk in the light, as he is in the light, we have fellowship with one another, and the blood of Jesus, his Son, purifies us from all sin."
blood,Hebrews 13:20-21,"Now may the God of peace, who through the blood of the eternal covenant brought back from the dead our Lord Jesus, that great Shepherd of the sheep, equip you with everything good for doing his will, and may he work in us what is pleasing to him, through Jesus Christ, to whom be glory for ever and ever. Amen."
blood,Ephesians 2:13,But now in Christ Jesus you who once were far away have been brought near by the blood of Christ.
blood,John 6:56,"Whoever eats my flesh and drinks my blood remains in me, and I in them."
blood,Hebrews 9:14,"How much more, then, will the blood of Christ, who through the eternal Spirit offered himself unblemished to God, cleanse our consciences from acts that lead to death, so that we may serve the living God!"
blood,Isaiah 1:18,"“Come now, let us settle the matter,” says the Lord. “Though your sins are like scarlet, they shall be as white as snow; though they are red as crimson, they shall be like wool.”"
blood,Luke 22:20,"In the same way, after the supper he took the cup, saying, “This cup is the new covenant in my blood, which is poured out for you.”"
blood,Genesis 9:3-4,"Everything that lives and moves about will be food for you. Just as I gave you the green plants, I now give you everything. But you must not eat meat that has its lifeblood still in it."
blood,Jeremiah 7:5-7,"If you really change your ways and your actions and deal with each other justly, if you do not oppress the foreigner, the fatherless or the widow and do not shed innocent blood in this place, and if you do not follow other gods to your own harm, then I will let you live in this place, in the land I gave your ancestors for ever and ever."
body,1 Corinthians 6:19-20,"Do you not know that your bodies are temples of the Holy Spirit, who is in you, whom you have received from God? You are not your own; you were bought at a price. Therefore honor God with your bodies."
body,Romans 12:4-5,"For just as each of us has one body with many members, and these members do not all have the same function, so in Christ we, though many, form one body, and each member belongs to all the others."
body,Psalm 139:13-14,"For you created my inmost being; you knit me together in my mother’s womb. I praise you because I am fearfully and wonderfully made; your works are wonderful, I know that full well."
body,Psalm 73:26,"My flesh and my heart may fail, but God is the strength of my heart and my portion forever."
body,Ecclesiastes 11:10,"So then, banish anxiety from your heart and cast off the troubles of your body, for youth and vigor are meaningless."
body,Proverbs 17:22,"A cheerful heart is good medicine, but a crushed spirit dries up the bones."
body,Matthew 26:41,"Watch and pray so that you will not fall into temptation. The spirit is willing, but the flesh is weak."
body,Colossians 3:15,"Let the peace of Christ rule in your hearts, since as members of one body you were called to peace. And be thankful."
body,Proverbs 3:7-8,Do not be wise in your own eyes; fear the Lord and shun evil. This will bring health to your body and nourishment to your bones.
body,Proverbs 16:24,"Gracious words are a honeycomb, sweet to the soul and healing to the bones."
body,1 Timothy 4:8,"For physical training is of some value, but godliness has value for all things, holding promise for both the present life and the life to come."
body,2 Corinthians 4:16,"Therefore we do not lose heart. Though outwardly we are wasting away, yet inwardly we are being renewed day by day."
body,1 Corinthians 9:27,"No, I strike a blow to my body and make it my slave so that after I have preached to others, I myself will not be disqualified for the prize."
body,Matthew 6:25,"Therefore I tell you, do not worry about your life, what you will eat or drink; or about your body, what you will wear. Is not life more than food, and the body more than clothes?"
body,Ephesians 4:4,"There is one body and one Spirit, just as you were called to one hope when you were called."
body,Matthew 10:28,"Do not be afraid of those who kill the body but cannot kill the soul. Rather, be afraid of the One who can destroy both soul and body in hell."
body,Psalm 63:1,"You, God, are my God, earnestly I seek you; I thirst for you, my whole being longs for you, in a dry and parched land where there is no water."
body,1 Corinthians 12:12,"Just as a body, though one, has many parts, but all its many parts form one body, so it is with Christ."
body,Genesis 2:22-24,"Then the Lord God made a woman from the rib he had taken out of the man, and he brought her to the man. The man said, “This is now bone of my bones and flesh of my flesh; she shall be called ‘woman,’ for she was taken out of man.” That is why a man leaves his father and mother and is united to his wife, and they become one flesh."
body,Luke 12:22b-23,"Do not worry about your life, what you will eat; or about your body, what you will wear. For life is more than food, and the body more than clothes."
body,James 3:2,"We all stumble in many ways. Anyone who is never at fault in what they say is perfect, able to keep their whole body in check."
body,2 Corinthians 5:1,"For we know that if the earthly tent we live in is destroyed, we have a building from God, an eternal house in heaven, not built by human hands."
body,Matthew 5:29,"If your right eye causes you to stumble, gouge it out and throw it away. It is better for you to lose one part of your body than for your whole body to be thrown into hell."
body,1 Corinthians 13:3,"If I give all I possess to the poor and give over my body to hardship that I may boast, but do not have love, I gain nothing."
body,1 Corinthians 12:13,"For we were all baptized by one Spirit so as to form one body—whether Jews or Gentiles, slave or free—and we were all given the one Spirit to drink."
bread,John 6:35,"Then Jesus declared, “I am the bread of life. Whoever comes to me will never go hungry, and whoever believes in me will never be thirsty.”"
bread,Matthew 4:4,"Jesus answered, “It is written: ‘Man shall not live on bread alone, but on every word that comes from the mouth of God.’”"
bread,Ecclesiastes 9:7,"Go, eat your food with gladness, and drink your wine with a joyful heart, for God has already approved what you do."
bread,2 Corinthians 9:10,Now he who supplies seed to the sower and bread for food will also supply and increase your store of seed and will enlarge the harvest of your righteousness.
bread,Luke 22:19,"And he took bread, gave thanks and broke it, and gave it to them, saying, “This is my body given for you; do this in remembrance of me.”"
bread,Matthew 6:11,Give us today our daily bread.
bread,John 6:51,"I am the living bread that came down from heaven. Whoever eats this bread will live forever. This bread is my flesh, which I will give for the life of the world."
bread,Acts 2:46-47,"Every day they continued to meet together in the temple courts. They broke bread in their homes and ate together with glad and sincere hearts, praising God and enjoying the favor of all the people. And the Lord added to their number daily those who were being saved."
